grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,curso_id,curso_busca,cidade_busca,uf_busca,cidade_filtro,universidade_nome,campus_nome,campus_id,nome,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
Bacharelado,Noturno,1056.78,2,2,,,2436675823,Ciências Contábeis,Belo Horizonte,MG,MzEwNzAzMDA2MjAw,Centro Universitário Newton Paiva - NEWTON PAIVA,UNIDADE CARLOS LUZ - BELO HORIZONTE - Caiçara,24366,Ciências Contábeis,639.38,616.08,,
Tecnológico,Matutino,1056.64,2,,,,699911136231,Gastronomia,Salvador,BA,MjkwNTAyMTI3NDA4,Universidade Salvador - UNIFACS,CAMPUS PROFESSOR BARROS - Pituaçu,6999,Gastronomia,603.84,,,
Bacharelado,Matutino,1056.0,0,1,,,106594112640201,Biomedicina,Curitiba,PR,NDExMDAzNzA2OTAy,Faculdade de Inovação Tecnológica de Curitiba - FAC-CESUMAR,RUA ITAJUBÁ 673  BAIRRO PORTÃO - CURITIBA-PR - Novo Mundo,1065941,Biomedicina,654.02,,,
Bacharelado,Noturno,1056.0,0,1,,,106594112640203,Biomedicina,Curitiba,PR,NDExMDAzNzA2OTAy,Faculdade de Inovação Tecnológica de Curitiba - FAC-CESUMAR,RUA ITAJUBÁ 673  BAIRRO PORTÃO - CURITIBA-PR - Novo Mundo,1065941,Biomedicina,602.3,,,
Bacharelado,Matutino,1056.0,0,1,,,106588912637751,Biomedicina,Ponta Grossa,PR,NDEwNTAyMTE5OTA1,Faculdade de Inovação Tecnológica de Ponta Grossa - FAC-CESUMAR,"SEDE: RUA DESEMBARGADOR WESTPHALEM, 60 OFICINAS - Centro",1065889,Biomedicina,617.48,,,
Bacharelado,Noturno,1056.0,1,2,,,106588912637753,Biomedicina,Ponta Grossa,PR,NDEwNTAyMTE5OTA1,Faculdade de Inovação Tecnológica de Ponta Grossa - FAC-CESUMAR,"SEDE: RUA DESEMBARGADOR WESTPHALEM, 60 OFICINAS - Centro",1065889,Biomedicina,618.0,585.78,,
Bacharelado,Noturno,1056.0,0,1,,,10069812050643,Engenharia Mecânica,Brusque,SC,NDIwNDAxMjAyOTA5,Faculdade do Vale do Itajaí Mirim - FAVIM,UNIDADE SEDE - São Luiz,100698,Engenharia Mecânica,626.06,,,
Bacharelado,Noturno,1056.0,0,3,,,658203227893,Comunicação Social - Publicidade e Propaganda,Joinville,SC,NDIwMjAwODA5MTAy,Instituto Superior e Centro Educacional Luterano - Bom Jesus - Ielusc - BOM JESUS/IELUSC,UNIDADE SEDE - Centro,658203,Comunicação Social - Publicidade e Propaganda,604.44,,,
Bacharelado,Matutino,1056.0,0,20,,,18941210381,Engenharia Mecânica,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade de Mogi das Cruzes - UMC,CAMPUS VILLA LOBOS-SÃO PAULO - Vila Leopoldina,1894,Engenharia Mecânica,580.82,,,
Bacharelado,Matutino,1056.0,0,20,,,18941210441,Engenharia Civil,Sao Paulo,SP,MzUxNTA2MTUwMzA4,Universidade de Mogi das Cruzes - UMC,CAMPUS VILLA LOBOS-SÃO PAULO - Vila Leopoldina,1894,Engenharia Civil,575.94,,,
Bacharelado,Matutino,1055.78,6,4,,,3475359231,Psicologia,Natal,RN,MjQwNDAxODA4MTAy,Universidade Potiguar - UNP,CAMPUS NATAL - UNIDADE ROBERTO FREIRE - Capim Macio,3475,Psicologia,623.32,615.7,,
Bacharelado,Noturno,1055.78,10,7,,,3475359233,Psicologia,Natal,RN,MjQwNDAxODA4MTAy,Universidade Potiguar - UNP,CAMPUS NATAL - UNIDADE ROBERTO FREIRE - Capim Macio,3475,Psicologia,624.62,606.5,,
Bacharelado,Vespertino,1055.75,2,1,,2,65959810601762,Nutrição,Bacabal,MA,MjEwMzAxMDAxMjAy,Faculdade de Educação de Bacabal - Febac - FEBAC,UNIDADE SEDE - Centro,659598,Nutrição,604.62,592.22,570.02,
